"gene_id","gene_symbol","term_id","term_name","domain"
"YIL015W","BAR1","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YIL113W","SDP1","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YIL147C","SLN1","sce04139","Mitophagy - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YIL147C","SLN1","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YIL159W","BNR1","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YIR019C","FLO11","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YJL095W","BCK1","sce04139","Mitophagy - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YJL095W","BCK1","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YJL128C","PBS2","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YJL128C","PBS2","sce04139","Mitophagy - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YJL157C","FAR1","sce04111","Cell cycle - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YJL157C","FAR1","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YJL187C","SWE1","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YJL187C","SWE1","sce04113","Meiosis - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YJL187C","SWE1","sce04111","Cell cycle - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YJR086W","STE18","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YKL062W","MSN4","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
